단어,빈도수
소녀가,29
소년은,29
있었다.,24
한,20
-,14
소녀의,14
소년이,12
그,12
소녀는,11
있는,10
했다.,9
않았다.,8
이,8
안고,7
앉아,7
물,7
다.,7
가,7
그러나,,7
소년의,7
날,6
수,6
더,6
전에,6
하는,6
뵈지,6
있다.,6
나왔다.,5
속을,5
하고,5
저,5
이게,5
번,5
좀,5
손을,5
걸,5
가을,5
같았다.,4
개울가로,4
몇,4
우리,4
소리가,4
못,4
많이,4
것이었다.,4
그냥,4
소녀,4
저도,4
일,4
다,4
게,4
윤,4
서,4
왔다.,4
무슨,4
모르게,4
달려간다.,3
아버지가,3
것만,3
같은,3
보았다.,3
한다는,3
물이,3
주머니,3
그런데,,3
물장난을,3
속에,3
같다.,3
얼굴이,3
스웨터,3
그대로,3
생각됐다.,3
것이다.,3
학교에서,3
들어,3
것,3
그저,3
이런,3
없었다.,3
허수아비가,3
꽃을,3
저놈의,3
소녀를,3
징검다리,3
와,3
돌아오는,3
집으로,3
초시,3
두,3
자기가,3
쪽,3
이사,3
시작했다.,3
날은,3
것이,3
세수를,3
골라,3
큰,3
날,,3
소녀에게,3
뛰어,3
수숫단,3
갈꽃이,3
소녀네가,3
자꾸,3
낸다.,3
것도,3
속,3
향해,3
길을,3
없이,3
하나,3
그리고는,3
다음,3
며칠째,3
징검다리를,3
지금,3
오늘은,3
말을,3
이번에는,3
달렸다.,3
생각이,3
또,3
“그럼,,3
그러다가,3
분홍,3
보였다.,2
눈에,2
지나가는,2
작대기를,2
어지럽다.,2
생각을,2
수숫단을,2
산,2
굵은,2
온,2
하늘이,2
밑에서,2
쪽으로,2
집마저,2
오늘,2
줄기를,2
“참,,2
갈림길에서,2
송아지가,2
들어섰다.,2
그을,2
알,2
잡아,2
등을,2
눈을,2
가는,2
덜,2
애,2
가지고,2
만다.,2
들어와,2
안,2
비집어,2
꽃묶음,2
어나,2
갈꽃을,2
이리로,2
느꼈다.,2
체,2
지났다.,2
젖은,2
뿐,,2
독수리,,2
참,2
비를,2
벌써,2
할아버지네,2
일찍,2
어른들의,2
돌아가,2
곁을,2
건넨다.,2
목덜미가,2
의,2
어린,2
서울,2
산을,2
등에서,2
할,2
건,2
늦게,2
